"Date","Status","Type","CheckNumber","Description","Withdrawal","Deposit","RunningBalance"
"05/08/2025","Posted","VISA","","HELADERIA MAMA ELBA MADRID","$4.21","","$3,403.76"
"05/07/2025","Posted","VISA","","Kindle Unltd*NI7U169C2 888-802-3080","$11.99","","$3,407.97"
"05/06/2025","Posted","VISA","","ALDI ARGUELLES TDA 44 MADRID","$1.35","","$3,419.96"
"05/06/2025","Posted","VISA","","STIB ...225 BRUXELLES","$5.24","","$3,421.31"
"05/06/2025","Posted","VISA","","WWW.GWR.COM ...000125","$47.87","","$3,426.55"
"05/06/2025","Posted","VISA","","GareduMidi EurostarWalk Brussels","$14.23","","$3,474.42"
"05/05/2025","Posted","VISA","","FEVER* PALACIO REAL DE MADRID","$23.64","","$3,488.65"
"05/05/2025","Posted","VISA","","MS* MIXHOTEL WATERMAEL-BOI","$22.76","","$3,512.29"
"05/05/2025","Posted","VISA","","ALDI ARGUELLES TDA 44 MADRID","$6.02","","$3,535.05"
"05/05/2025","Posted","VISA","","METRO DE MADRID S.A. MADRID","$3.41","","$3,541.07"
"05/05/2025","Posted","VISA","","STIB ...544 BRUXELLES","$2.62","","$3,544.48"
"05/05/2025","Posted","VISA","","STIB ...966 BRUXELLES","$2.62","","$3,547.10"
"05/05/2025","Posted","VISA","","Grab And Fly Term A Zaventem","$7.85","","$3,549.72"
"05/05/2025","Posted","VISA","","UBER   *TRIP HELP.UBER.COM","$41.76","","$3,557.57"
"05/05/2025","Posted","VISA","","Pierre Marcolini Belgiu Bruxellles","$12.41","","$3,599.33"
"05/04/2025","Posted","VISA","","Mix WATERMAEL- BO","$8.99","","$3,611.74"
"05/04/2025","Posted","VISA","","NYX*ABServiciosSelectaE TorrejondeArd","$4.67","","$3,620.73"
"05/04/2025","Posted","VISA","","GOURMET BRUXELLES","$7.94","","$3,625.40"
"05/04/2025","Posted","VISA","","STIB ...396 BRUXELLES","$2.62","","$3,633.34"
"05/04/2025","Posted","VISA","","STIB ...860 BRUXELLES","$2.62","","$3,635.96"
"05/03/2025","Posted","VISA","","Mix WATERMAEL- BO","$7.40","","$3,638.58"
"05/03/2025","Posted","VISA","","UNIQLO Porte de Namur Bruxelles","$45.25","","$3,645.98"
"05/02/2025","Posted","VISA","","Mix WATERMAEL- BO","$39.13","","$3,691.23"
"05/02/2025","Posted","VISA","","GWR OXFORD SST OXFORD","$96.64","","$3,730.36"
"05/02/2025","Posted","VISA","","OXFORD BUS COMPANY OXFORD","$3.76","","$3,827.00"
"05/02/2025","Posted","VISA","","OXFORD BUS COMPANY OXFORD","$3.76","","$3,830.76"
"05/01/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.68","","$3,834.52"
"05/01/2025","Posted","VISA","","CCSCabCard Services - Stockport","$12.10","","$3,844.20"
"04/30/2025","Posted","INTADJUST","","Interest Paid","","$0.26","$3,856.30"
"04/30/2025","Posted","VISA","","SUMUP  *TAXI MDA2F2DZ BICESTER","$12.10","","$3,856.04"
"04/30/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.68","","$3,868.14"
"04/30/2025","Posted","VISA","","CCS*001 Alpha Cars Oxon","$12.10","","$3,877.82"
"04/30/2025","Posted","VISA","","MS* MIXHOTEL WATERMAEL-BOI","$990.11","","$3,889.92"
"04/30/2025","Posted","VISA","","SumUp  *Kai cheong LAU Bicester","$12.10","","$4,880.03"
"04/30/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$11.23","","$4,892.13"
"04/29/2025","Posted","VISA","","NAJARS PLACE OXFORD","$6.01","","$4,903.36"
"04/28/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$82.22","","$4,909.37"
"04/27/2025","Posted","VISA","","CLR*S & W LIMITED OXFORD","$66.79","","$4,991.59"
"04/27/2025","Posted","VISA","","MARKS&SPENCER PLC OXFORD","$21.51","","$5,058.38"
"04/26/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$3.87","","$5,079.89"
"04/24/2025","Posted","VISA","","BOOTS,OXFORD OXFORD","$13.29","","$5,083.76"
"04/24/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$8.39","","$5,097.05"
"04/24/2025","Posted","VISA","","BOOTS,OXFORD OXFORD","$9.40","","$5,105.44"
"04/23/2025","Posted","VISA","","SQ *THE MISSING BEAN LT Oxford","$6.31","","$5,114.84"
"04/23/2025","Posted","VISA","","BOOTS 0330 OXFORD","$31.81","","$5,121.15"
"04/23/2025","Posted","VISA","","MILLE FEUILLE OXFORD","$5.37","","$5,152.96"
"04/22/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$38.44","","$5,158.33"
"04/22/2025","Posted","VISA","","GG ORIENTAL SNACK SHACK OXFORD","$17.52","","$5,196.77"
"04/21/2025","Posted","VISA","","CAPUCCINERIA PRAHA","$4.33","","$5,214.29"
"04/21/2025","Posted","VISA","","GEORGE AND ASSOCIATE PRAHA","$108.34","","$5,218.62"
"04/21/2025","Posted","VISA","","NEU*Very Goodies as Praha","$2.28","","$5,326.96"
"04/21/2025","Posted","VISA","","SBX PRAHA JUNGMANNOVA PRAHA","$2.96","","$5,329.24"
"04/20/2025","Posted","VISA","","U Zlate psenice Praha 1","$109.78","","$5,332.20"
"04/20/2025","Posted","VISA","","CG *Borowczak Jarosla Kozomin","$43.79","","$5,441.98"
"04/20/2025","Posted","VISA","","ORL PRAHA","$48.44","","$5,485.77"
"04/20/2025","Posted","VISA","","BAR 7 PRAHA 1 - STA","$3.65","","$5,534.21"
"04/20/2025","Posted","VISA","","BAR 7 PRAHA 1 - STA","$4.01","","$5,537.86"
"04/20/2025","Posted","VISA","","BAR 8 PRAHA 1 - STA","$14.30","","$5,541.87"
"04/20/2025","Posted","VISA","","BAR 7 PRAHA 1 - STA","$18.82","","$5,556.17"
"04/20/2025","Posted","VISA","","Lekarna U Sv. Ludmily Praha 2","$10.35","","$5,574.99"
"04/20/2025","Posted","VISA","","KFC Narodni Praha 1","$22.53","","$5,585.34"
"04/19/2025","Posted","VISA","","HANA ATAR SRO KEBAB PRAHA 1","$4.56","","$5,607.87"
"04/19/2025","Posted","VISA","","STAROCESKA PEKARNA PRAHA","$3.88","","$5,612.43"
"04/19/2025","Posted","VISA","","52 SN Gril Cider Praha","$6.85","","$5,616.31"
"04/19/2025","Posted","VISA","","SN13a13b Trdelnik Hlavni mesto","$8.68","","$5,623.16"
"04/19/2025","Posted","VISA","","McDonald's Muzeum PRAHA 1","$0.91","","$5,631.84"
"04/19/2025","Posted","VISA","","MCDONALDS VACLAVSKE NA PRAHA 1","$12.74","","$5,632.75"
"04/19/2025","Posted","VISA","","Astacus S.R.O. ...528 Praha 1","$3.20","","$5,645.49"
"04/19/2025","Posted","VISA","","Astacus S.R.O. ...528 Praha 1","$3.20","","$5,648.69"
"04/19/2025","Posted","VISA","","BK City Praha 1","$5.66","","$5,651.89"
"04/18/2025","Posted","VISA","","COFFEE CUBE 03 PRAHA 1","$8.90","","$5,657.55"
"04/18/2025","Posted","VISA","","STAROCESKA PEKARNA PRAHA","$6.62","","$5,666.45"
"04/18/2025","Posted","VISA","","CG *Borowczak Jarosla Kozomin","$12.78","","$5,673.07"
"04/18/2025","Posted","VISA","","Bistro Husovka 14 Praha 1","$21.00","","$5,685.85"
"04/18/2025","Posted","VISA","","NEU*Mark2 Corporation Praha","$0.91","","$5,706.85"
"04/18/2025","Posted","VISA","","SP HOLAFLY.COM DUBLIN","$12.90","","$5,707.76"
"04/17/2025","Posted","VISA","","Foot Locker Praha PRAHA","$150.19","","$5,720.66"
"04/17/2025","Posted","VISA","","VMS MAGDALEN COLLEGE Wallingford","$4.37","","$5,870.85"
"04/17/2025","Posted","VISA","","THE BRIDGE BAR 1960 HEATHROW","$99.09","","$5,875.22"
"04/17/2025","Posted","VISA","","OXFORD BUS COMPANY OXFORD","$92.79","","$5,974.31"
"04/16/2025","Posted","VISA","","Zettle_*Oxford Fish Sho Kidlington","$33.01","","$6,067.10"
"04/16/2025","Posted","VISA","","STAGECOACH BUS TICKET","$3.96","","$6,100.11"
"04/16/2025","Posted","VISA","","STAGECOACH BUS TICKET","$3.96","","$6,104.07"
"04/16/2025","Posted","VISA","","THE MAD HATTER OXFORD","$116.20","","$6,108.03"
"04/15/2025","Posted","VISA","","CAFFE NERO OXFORD BLACK OXFORD","$10.52","","$6,224.23"
"04/15/2025","Posted","VISA","","Blenheim - Orangery Woodstock","$179.59","","$6,234.75"
"04/15/2025","Posted","VISA","","NANDOS OXFORD OXFORD","$59.69","","$6,414.34"
"04/15/2025","Posted","VISA","","BROTHERS CAFE OXFORD","$13.81","","$6,474.03"
"04/14/2025","Posted","VISA","","OXFORD TAILORING LTD OXFORD","$52.59","","$6,487.84"
"04/14/2025","Posted","VISA","","SPOTIFY 877-778-1161","$16.99","","$6,540.43"
"04/14/2025","Posted","VISA","","Vaults and Garden Oxford","$42.73","","$6,557.42"
"04/14/2025","Posted","VISA","","SAINSBURYS S/MKTS OXFORD","$21.50","","$6,600.15"
"04/14/2025","Posted","VISA","","NAJARS PLACE OXFORD","$5.92","","$6,621.65"
"04/14/2025","Posted","VISA","","GREENE KING BURY ST EDMON","$170.86","","$6,627.57"
"04/14/2025","Posted","VISA","","GREENE KING BURY ST EDMON","$9.20","","$6,798.43"
"04/14/2025","Posted","VISA","","GREENE KING BURY ST EDMON","$13.74","","$6,807.63"
"04/13/2025","Posted","VISA","","SCRIPTUM LTD OXFORD","$13.15","","$6,821.37"
"04/13/2025","Posted","VISA","","Lamb and Flag Oxford","$6.57","","$6,834.52"
"04/13/2025","Posted","VISA","","Lamb and Flag Oxford","$6.31","","$6,841.09"
"04/13/2025","Posted","VISA","","Queens Lane Coffee Hous Oxford","$180.26","","$6,847.40"
"04/12/2025","Posted","VISA","","OLIS THAI OXFORD OX4","$20.15","","$7,027.66"
"04/12/2025","Posted","VISA","","OLIS THAI OXFORD OX4" L Wimborne","$9.75","","$7,047.81"
"04/11/2025","Posted","VISA","","George and Davis Oxford","$5.46","","$7,057.56"
"04/11/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.26","","$7,063.02"
"04/11/2025","Posted","VISA","","ALASKA AIR  ...021058 SEATTLE","$326.59","","$7,072.28"
"04/10/2025","Posted","VISA","","The Magdalen Arms Oxford","$305.42","","$7,398.87"
"04/10/2025","Posted","VISA","","HOTEL ALHAMBRA PALACE GRANADA","$940.87","","$7,704.29"
"04/09/2025","Posted","ACH","","VENMO CASHOUT 250408","","$1,400.00","$8,645.16"
"04/09/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.31","","$7,245.16"
"04/08/2025","Posted","VISA","","TFL TRAVEL CH TFL.GOV.UK/CP","$4.85","","$7,254.47"
"04/07/2025","Posted","VISA","","TFL TRAVEL CH TFL.GOV.UK/CP","$2.62","","$7,259.32"
"04/07/2025","Posted","VISA","","WWW.GWR.COM ...000125","$91.82","","$7,261.94"
"04/06/2025","Posted","VISA","","TFL TRAVEL CH TFL.GOV.UK/CP","$12.59","","$7,353.76"
"04/06/2025","Posted","VISA","","TFL TRAVEL CH TFL.GOV.UK/CP","$2.30","","$7,366.35"
"04/06/2025","Posted","VISA","","WATERLOO STARBUCKS LONDON","$7.74","","$7,368.65"
"04/06/2025","Posted","VISA","","LS The Vaults London","$12.46","","$7,376.39"
"04/05/2025","Posted","VISA","","TFL TRAVEL CH TFL.GOV.UK/CP","$7.35","","$7,388.85"
"04/05/2025","Posted","VISA","","WWW.GWR.COM ...000125","$94.85","","$7,396.20"
"04/04/2025","Posted","VISA","","AIRBNB * HMTK2TSRDD AIRBNB.COM","$244.79","","$7,491.05"
"04/04/2025","Posted","VISA","","GWR OXFORD SST OXFORD","$9.38","","$7,735.84"
"04/04/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.38","","$7,745.22"
"04/02/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.34","","$7,754.60"
"04/01/2025","Posted","VISA","","GG ORIENTAL SNACK SHACK OXFORD","$15.92","","$7,763.94"
"03/31/2025","Posted","INTADJUST","","Interest Paid","","$0.29","$7,779.86"
"03/31/2025","Posted","VISA","","CO-OPERATIVE FOOD OXFORD","$0.91","","$7,779.57"
"03/31/2025","Posted","VISA","","ATIF SUPERSTORE 01 OXFORD","$1.61","","$7,780.48"
"03/31/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$42.08","","$7,782.09"
"03/31/2025","Posted","VISA","","PAK HALAL ERDEM FOOD CE OXFORD","$3.54","","$7,824.17"
"03/30/2025","Posted","VISA","","JOHN LEWIS OXFORD","$194.58","","$7,827.71"
"03/30/2025","Posted","VISA","","BRITISH A   ...066449 LONDON","$128.05","","$8,022.29"
"03/30/2025","Posted","VISA","","IBERIA LAE SA MADRID","$357.07","","$8,150.34"
"03/29/2025","Posted","VISA","","The Slow and Steady Oxford","$7.52","","$8,507.41"
"03/29/2025","Posted","VISA","","Vaults and Garden Oxford","$28.54","","$8,514.93"
"03/29/2025","Posted","VISA","","MILLE FEUILLE OXFORD","$5.18","","$8,543.47"
"03/28/2025","Posted","VISA","","TFL TRAVEL CH TFL.GOV.UK/CP","$20.72","","$8,548.65"
"03/28/2025","Posted","VISA","","Bbuona Oxford","$22.03","","$8,569.37"
"03/28/2025","Posted","VISA","","Bbuona Oxford","$11.70","","$8,591.40"
"03/28/2025","Posted","VISA","","HOBBS LTD OXFORDSHIRE","$218.91","","$8,603.10"
"03/28/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.33","","$8,822.01"
"03/28/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$27.27","","$8,831.34"
"03/27/2025","Posted","VISA","","GWR OXFORD SST OXFORD","$109.99","","$8,858.61"
"03/27/2025","Posted","VISA","","UPPER CRUST LONDON","$8.42","","$8,968.60"
"03/26/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.34","","$8,977.02"
"03/25/2025","Posted","VISA","","SQ *THE COTSWOLD GUY Bicester","$5.84","","$8,986.36"
"03/25/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$15.51","","$8,992.20"
"03/24/2025","Posted","VISA","","JGS Meat & Grocery Oxford","$7.12","","$9,007.71"
"03/24/2025","Posted","ATM","","Notemachine ATM Notemac OX4 1DS","$12.98","","$9,014.83"
"03/24/2025","Posted","VISA","","SUMUP  *THE LARDER OXFORD","$16.87","","$9,027.81"
"03/23/2025","Posted","VISA","","ANTHROPOLOGIE 4523 OXFORD","$28.55","","$9,044.68"
"03/23/2025","Posted","VISA","","SUMUP  *ARTS AT THE OLD OXFORD","$11.29","","$9,073.23"
"03/23/2025","Posted","VISA","","NEXT RETAIL LTD OXFORD","$19.47","","$9,084.52"
"03/23/2025","Posted","VISA","","COSTA COFFEE ...581 OXFORD","$12.77","","$9,103.99"
"03/23/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$11.55","","$9,116.76"
"03/23/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$53.84","","$9,128.31"
"03/22/2025","Posted","VISA","","WILD HONEY LOVE OXFORD OX4","$14.13","","$9,182.15"
"03/22/2025","Posted","ATM","","N043431 OXFORD OXFORD","$38.93","","$9,196.28"
"03/21/2025","Posted","VISA","","M&S SIMPLY FOOD - SSP OXFORD STN","$7.81","","$9,235.21"
"03/21/2025","Posted","VISA","","SumUp  *Alpha cars Banbury","$11.71","","$9,243.02"
"03/21/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$5.78","","$9,254.73"
"03/21/2025","Posted","VISA","","ZETTLE_*MUHAMMAD ABDUL BICESTER","$11.71","","$9,260.51"
"03/20/2025","Posted","VISA","","SAS         ...304851 HOUNSLOW","$280.37","","$9,272.22"
"03/20/2025","Posted","VISA","","SAS         ...121205 HOUNSLOW","$15.34","","$9,552.59"
"03/20/2025","Posted","VISA","","SAS         ...121205 HOUNSLOW","$15.34","","$9,567.93"
"03/20/2025","Posted","VISA","","SAS         ...121205 HOUNSLOW","$15.34","","$9,583.27"
"03/20/2025","Posted","VISA","","SAS         ...304851 HOUNSLOW","$280.37","","$9,598.61"
"03/20/2025","Posted","VISA","","SAS         ...121205 HOUNSLOW","$15.34","","$9,878.98"
"03/20/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.37","","$9,894.32"
"03/19/2025","Posted","VISA","","Ramen Korner Oxford","$38.80","","$9,903.69"
"03/19/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.37","","$9,942.49"
"03/19/2025","Posted","VISA","","BOOTS,OXFORD OXFORD","$20.67","","$9,951.86"
"03/17/2025","Posted","VISA","","Ben's Cookies Oxford","$9.08","","$9,972.53"
"03/17/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$37.62","","$9,981.61"
"03/17/2025","Posted","VISA","","GG ORIENTAL SNACK SHACK OXFORD","$14.10","","$10,019.23"
"03/17/2025","Posted","VISA","","EUROSTAR INTERNATIONAL LONDON","$373.65","","$10,033.33"
"03/17/2025","Posted","VISA","","EUROSTAR INTERNATIONAL LONDON","$177.74","","$10,406.98"
"03/17/2025","Posted","VISA","","OXFORD BUS COMPANY OXFORD","$3.63","","$10,584.72"
"03/16/2025","Posted","VISA","","Redline Buses Ltd Aylesbury","$2.59","","$10,588.35"
"03/16/2025","Posted","VISA","","THE ISIS FARMHOUSE OXFORD OX4","$30.36","","$10,590.94"
"03/16/2025","Posted","VISA","","CYCLE KING OXFORD OX4","$19.45","","$10,621.30"
"03/16/2025","Posted","VISA","","SumUp  *Magdalen Colle Oxford","$3.89","","$10,640.75"
"03/16/2025","Posted","VISA","","SumUp  *Magdalen Colle Oxford","$3.89","","$10,644.64"
"03/16/2025","Posted","VISA","","SumUp  *Magdalen Colle Oxford","$6.49","","$10,648.53"
"03/15/2025","Posted","VISA","","STARBUCKS NEW ST RAIL","$6.36","","$10,655.02"
"03/15/2025","Posted","VISA","","BLACKWELL'S  OXFORD BRO OXFORD","$14.26","","$10,661.38"
"03/14/2025","Posted","VISA","","SPOTIFY 877-778-1161","$16.99","","$10,675.64"
"03/14/2025","Posted","VISA","","Go Greek Food Aylesbury","$11.68","","$10,692.63"
"03/14/2025","Posted","VISA","","PREMIER INN WIGAN","$11.68","","$10,704.31"
"03/14/2025","Posted","VISA","","FRANCOS WIGAN","$28.15","","$10,715.99"
"03/13/2025","Posted","VISA","","NYX*ApeoLtd HaywardsHeath","$0.32","","$10,744.14"
"03/13/2025","Posted","VISA","","NAJARS PLACE OXFORD","$7.13","","$10,744.46"
"03/12/2025","Posted","VISA","","OXFORD MASSAGE CENTRE THEOXFORDMASS","$97.27","","$10,751.59"
"03/12/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$28.49","","$10,848.86"
"03/12/2025","Posted","ACH","","IRS  TREAS ...310 TAX REF 031225 REF*GRAY*A","","$9,428.00","$10,877.35"
"03/11/2025","Posted","VISA","","ATIF SUPERSTORE 01 OXFORD","$8.68","","$1,449.35"
"03/11/2025","Posted","VISA","","MAGDALEN COLLEGE OXFORD WALLINGFORD","$38.85","","$1,458.03"
"03/11/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$25.24","","$1,496.88"
"03/09/2025","Posted","VISA","","Angel & Greyhound Oxford","$41.31","","$1,522.12"
"03/09/2025","Posted","VISA","","SumUp  *Missing Bean L Oxford","$11.46","","$1,563.43"
"03/09/2025","Posted","VISA","","OLIS THAI OXFORD OX4","$25.90","","$1,574.89"
"03/09/2025","Posted","VISA","","ICELAND OXFORD","$20.20","","$1,600.79"
"03/09/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$3.82","","$1,620.99"
"03/08/2025","Posted","VISA","","CEX OXFORD OXFORD","$32.37","","$1,624.81"
"03/08/2025","Posted","VISA","","NAJARS PLACE OXFORD","$7.11","","$1,657.18"
"03/07/2025","Posted","TRANSFER","","Funds Transfer to Brokerage ...853","$4,000.00","","$1,664.29"
"03/07/2025","Posted","VISA","","AIRBNB * HMTK2TSRDD AIRBNB.COM","$1,223.94","","$5,664.29"
"03/07/2025","Posted","ACH","","FRANCHISE TAX BD CASTTAXRFD 030425~ Tran","","$4,515.00","$6,888.23"
"03/06/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$31.33","","$2,373.23"
"03/05/2025","Posted","VISA","","Ben's Cookies Oxford","$8.96","","$2,404.56"
"03/05/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.16","","$2,413.52"
"03/05/2025","Posted","VISA","","WWW.GWR.COM ...000125","$9.16","","$2,422.68"
"03/04/2025","Posted","VISA","","VERSUS OXFORD","$54.29","","$2,431.84"
"03/04/2025","Posted","VISA","","VERSUS OXFORD","$47.98","","$2,486.13"
"03/04/2025","Posted","VISA","","BRITISH A   ...047729 LONDON","$282.07","","$2,534.11"
"03/04/2025","Posted","VISA","","BRITISH A   ...047729 LONDON","$282.07","","$2,816.18"
"03/04/2025","Posted","VISA","","RHODES HOUSE LIMITED OXFORD","$12.12","","$3,098.25"
"03/03/2025","Posted","VISA","","KOREA FOODS CO SP10 OXFORD","$6.05","","$3,110.37"
"03/03/2025","Posted","VISA","","SAINSBURYS S/MKTS OXFORD COWLEY","$10.79","","$3,116.42"
"03/03/2025","Posted","VISA","","DELTA FORCE PAINTBALL - BRACKLEY","$15.14","","$3,127.21"
"03/03/2025","Posted","VISA","","DELTA FORCE PAINTBALL - BRACKLEY","$88.36","","$3,142.35"
"03/02/2025","Posted","VISA","","CO-OPERATIVE FOOD OXFORD","$4.10","","$3,230.71"
"03/02/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$59.93","","$3,234.81"
"03/02/2025","Posted","VISA","","GG ORIENTAL SNACK SHACK OXFORD","$37.07","","$3,294.74"
"03/01/2025","Posted","VISA","","FU MAN LOU OXFORD","$53.34","","$3,331.81"
"03/01/2025","Posted","VISA","","The Big Society Oxford","$6.29","","$3,385.15"
"03/01/2025","Posted","VISA","","TESCO STORES 6292 OXFORD","$1.78","","$3,391.44"
"03/01/2025","Posted","VISA","","SumUp  *The Larder Oxford","$5.65","","$3,393.22"
"03/01/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$10.80","","$3,398.87"
"03/01/2025","Posted","VISA","","GG ORIENTAL SNACK SHACK OXFORD","$9.11","","$3,409.67"
"02/28/2025","Posted","INTADJUST","","Interest Paid","","$0.11","$3,418.78"
"02/28/2025","Posted","VISA","","CO-OPERATIVE FOOD OXFORD","$0.51","","$3,418.67"
"02/28/2025","Posted","VISA","","GAILS - JERICHO OXFORD","$8.65","","$3,419.18"
"02/28/2025","Posted","VISA","","NAJARS PLACE OXFORD","$7.00","","$3,427.83"
"02/28/2025","Posted","VISA","","TESCO STORES 6292 OXFORD","$10.18","","$3,434.83"
"02/28/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$6.17","","$3,445.01"
"02/28/2025","Posted","VISA","","MAGDALEN COLLEGE OXFORD WALLINGFORD","$38.16","","$3,451.18"
"02/27/2025","Posted","VISA","","Ramen Korner Oxford","$43.63","","$3,489.34"
"02/27/2025","Posted","VISA","","STAR THAI FOOD TAMWORTH","$10.78","","$3,532.97"
"02/26/2025","Posted","VISA","","GWR OXFORD SST OXFORD","$8.76","","$3,543.75"
"02/26/2025","Posted","VISA","","Quod Bar & Restaurant Oxford","$210.49","","$3,552.51"
"02/26/2025","Posted","VISA","","TESCO STORES 6292 OXFORD","$2.92","","$3,763.00"
"02/25/2025","Posted","VISA","","GEORGINAS OXFORD","$10.08","","$3,765.92"
"02/25/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$24.10","","$3,776.00"
"02/24/2025","Posted","TRANSFER","","Funds Transfer from Brokerage ...853","","$2,000.00","$3,800.10"
"02/22/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$22.94","","$1,800.10"
"02/21/2025","Posted","VISA","","CO-OPERATIVE FOOD OXFORD","$3.84","","$1,823.04"
"02/20/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$16.61","","$1,826.88"
"02/19/2025","Posted","VISA","","GWR OXFORD SST OXFORD","$102.49","","$1,843.49"
"02/19/2025","Posted","VISA","","TFL TRAVEL CH TFL.GOV.UK/CP","$7.58","","$1,945.98"
"02/19/2025","Posted","VISA","","QVERDE RESTAURANT RICHMOND","$61.67","","$1,953.56"
"02/19/2025","Posted","VISA","","NAJARS PLACE OXFORD","$6.95","","$2,015.23"
"02/19/2025","Posted","VISA","","PRET A MANGER OXFORD","$7.51","","$2,022.18"
"02/18/2025","Posted","VISA","","NAJARS PLACE OXFORD","$6.95","","$2,029.69"
"02/17/2025","Posted","VISA","","Quod Bar and Restaurant Oxford","$117.44","","$2,036.64"
"02/17/2025","Posted","VISA","","JOHN LEWIS OXFORD","$8.84","","$2,154.08"
"02/17/2025","Posted","VISA","","PRET A MANGER OXFORD","$4.99","","$2,162.92"
"02/16/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$1.83","","$2,167.91"
"02/16/2025","Posted","VISA","","TESCO STORES 2990 OXFORD 1","$44.44","","$2,169.74"
"02/15/2025","Posted","VISA","","Al Amin Oxford","$23.40","","$2,214.18"
"02/14/2025","Posted","VISA","","SPOTIFY 877-778-1161","$16.99","","$2,237.58"
